"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 11- 04","217.57","217.57","217.57","217.57","","1.85%"
"2022- 11- 03","213.62","213.62","213.62","213.62","","-0.31%"
"2022- 11- 02","214.29","214.29","214.29","214.29","","-0.62%"
"2022- 11- 01","215.63","215.63","215.63","215.63","","0.77%"
"2022- 10- 31","213.99","213.99","213.99","213.99","","0.59%"
"2022- 10- 28","212.73","212.73","212.73","212.73","","0.12%"
"2022- 10- 27","212.48","212.48","212.48","212.48","","1.10%"
"2022- 10- 26","210.17","210.17","210.17","210.17","","0.26%"
"2022- 10- 25","209.62","209.62","209.62","209.62","","1.22%"
"2022- 10- 24","207.10","207.10","207.10","207.10","","2.03%"
"2022- 10- 21","202.98","202.98","202.98","202.98","","-0.55%"
"2022- 10- 20","204.11","204.11","204.11","204.11","","0.27%"
"2022- 10- 19","203.57","203.57","203.57","203.57","","0.02%"
"2022- 10- 18","203.53","203.53","203.53","203.53","","0.61%"
"2022- 10- 17","202.29","202.29","202.29","202.29","","1.79%"
"2022- 10- 14","198.73","198.73","198.73","198.73","","1.15%"
"2022- 10- 13","196.47","196.47","196.47","196.47","","1.11%"
"2022- 10- 12","194.31","194.31","194.31","194.31","","-1.51%"
"2022- 10- 11","197.28","197.28","197.28","197.28","","-0.32%"
"2022- 10- 10","197.91","197.91","197.91","197.91","","0.24%"
"2022- 10- 07","197.43","197.43","197.43","197.43","","-0.90%"
"2022- 10- 06","199.23","199.23","199.23","199.23","","-1.28%"
"2022- 10- 05","201.82","201.82","201.82","201.82","","-1.67%"
"2022- 10- 04","205.25","205.25","205.25","205.25","","3.08%"
"2022- 10- 03","199.12","199.12","199.12","199.12","","1.01%"
"2022- 09- 30","197.13","197.13","197.13","197.13","","1.36%"
"2022- 09- 29","194.48","194.48","194.48","194.48","","-1.73%"
"2022- 09- 28","197.91","197.91","197.91","197.91","","-0.04%"
"2022- 09- 27","197.99","197.99","197.99","197.99","","-0.79%"
"2022- 09- 26","199.56","199.56","199.56","199.56","","-0.95%"
"2022- 09- 23","201.48","201.48","201.48","201.48","","-2.55%"
"2022- 09- 22","206.75","206.75","206.75","206.75","","-0.98%"
"2022- 09- 21","208.80","208.80","208.80","208.80","","0.40%"
"2022- 09- 20","207.96","207.96","207.96","207.96","","-1.79%"
"2022- 09- 19","211.74","211.74","211.74","211.74","","-0.11%"
"2022- 09- 16","211.98","211.98","211.98","211.98","","-0.71%"
"2022- 09- 15","213.50","213.50","213.50","213.50","","-0.25%"
"2022- 09- 14","214.04","214.04","214.04","214.04","","-1.23%"
"2022- 09- 13","216.71","216.71","216.71","216.71","","-1.05%"
"2022- 09- 12","219.00","219.00","219.00","219.00","","2.17%"
"2022- 09- 09","214.34","214.34","214.34","214.34","","1.49%"
"2022- 09- 08","211.20","211.20","211.20","211.20","","0.02%"
"2022- 09- 07","211.16","211.16","211.16","211.16","","-0.02%"
"2022- 09- 06","211.20","211.20","211.20","211.20","","0.13%"
"2022- 09- 05","210.93","210.93","210.93","210.93","","-1.17%"
"2022- 09- 02","213.43","213.43","213.43","213.43","","2.14%"
"2022- 09- 01","208.95","208.95","208.95","208.95","","-1.04%"
"2022- 08- 31","211.15","211.15","211.15","211.15","","-0.83%"
"2022- 08- 30","212.92","212.92","212.92","212.92","","-0.15%"
"2022- 08- 29","213.25","213.25","213.25","213.25","","-0.27%"
"2022- 08- 26","213.83","213.83","213.83","213.83","","-1.63%"
"2022- 08- 25","217.37","217.37","217.37","217.37","","0.19%"
"2022- 08- 24","216.95","216.95","216.95","216.95","","-0.41%"
"2022- 08- 23","217.85","217.85","217.85","217.85","","-0.02%"
"2022- 08- 22","217.89","217.89","217.89","217.89","","-1.24%"
"2022- 08- 19","220.62","220.62","220.62","220.62","","-0.76%"
"2022- 08- 18","222.31","222.31","222.31","222.31","","0.04%"
"2022- 08- 17","222.21","222.21","222.21","222.21","","-1.42%"
"2022- 08- 16","225.41","225.41","225.41","225.41","","0.88%"
"2022- 08- 15","223.44","223.44","223.44","223.44","","0.14%"
"2022- 08- 12","223.13","223.13","223.13","223.13","","0.12%"
"2022- 08- 11","222.86","222.86","222.86","222.86","","0.10%"
"2022- 08- 10","222.64","222.64","222.64","222.64","","0.88%"
"2022- 08- 09","220.69","220.69","220.69","220.69","","-0.11%"
"2022- 08- 08","220.94","220.94","220.94","220.94","","0.97%"
"2022- 08- 05","218.82","218.82","218.82","218.82","","0.05%"
"2022- 08- 04","218.71","218.71","218.71","218.71","","0.04%"
"2022- 08- 03","218.63","218.63","218.63","218.63","","0.91%"
"2022- 08- 02","216.66","216.66","216.66","216.66","","-0.50%"
"2022- 08- 01","217.75","217.75","217.75","217.75","","-0.43%"
"2022- 07- 29","218.70","218.70","218.70","218.70","","1.52%"
"2022- 07- 28","215.42","215.42","215.42","215.42","","0.05%"
