"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 07- 15","96.08","96.17","96.25","95.78","","-0.18%"
"2020- 07- 14","96.26","96.54","96.70","96.18","","-0.21%"
"2020- 07- 13","96.46","96.66","96.68","96.27","","-0.19%"
"2020- 07- 10","96.65","96.75","96.97","96.44","","-0.05%"
"2020- 07- 09","96.70","96.45","96.81","96.24","","0.28%"
"2020- 07- 08","96.43","96.99","97.05","96.40","","-0.47%"
"2020- 07- 07","96.88","96.75","97.15","96.60","","0.16%"
"2020- 07- 06","96.72","97.15","97.19","96.57","","-0.46%"
"2020- 07- 03","97.17","97.21","97.36","97.12","","-0.15%"
"2020- 07- 02","97.32","97.14","97.34","96.81","","0.12%"
"2020- 07- 01","97.20","97.39","97.62","97.03","","-0.20%"
"2020- 06- 30","97.39","97.40","97.80","97.23","","-0.15%"
"2020- 06- 29","97.54","97.50","97.65","97.11","","0.11%"
"2020- 06- 26","97.43","97.35","97.68","97.26","","0.00%"
"2020- 06- 25","97.43","97.24","97.60","97.16","","0.29%"
"2020- 06- 24","97.15","96.66","97.24","96.55","","0.52%"
"2020- 06- 23","96.65","96.93","97.25","96.39","","-0.40%"
"2020- 06- 22","97.04","97.66","97.74","97.00","","-0.60%"
"2020- 06- 19","97.62","97.42","97.72","97.16","","0.21%"
"2020- 06- 18","97.42","97.08","97.58","96.95","","0.27%"
"2020- 06- 17","97.16","97.01","97.34","96.80","","0.21%"
"2020- 06- 16","96.96","96.56","97.25","96.43","","0.26%"
"2020- 06- 15","96.71","97.09","97.39","96.60","","-0.63%"
"2020- 06- 12","97.32","96.81","97.45","96.49","","0.61%"
"2020- 06- 11","96.73","96.09","96.83","95.95","","0.81%"
"2020- 06- 10","95.96","96.43","96.46","95.72","","-0.38%"
"2020- 06- 09","96.32","96.63","97.06","96.23","","-0.30%"
"2020- 06- 08","96.62","96.84","97.07","96.60","","-0.33%"
"2020- 06- 05","96.94","96.74","97.03","96.44","","0.27%"
"2020- 06- 04","96.68","97.32","97.63","96.57","","-0.62%"
"2020- 06- 03","97.28","97.57","97.63","97.18","","-0.41%"
"2020- 06- 02","97.67","97.84","97.91","97.43","","-0.16%"
"2020- 06- 01","97.83","98.30","98.32","97.79","","-0.52%"
"2020- 05- 29","98.34","98.51","98.55","97.94","","-0.04%"
"2020- 05- 28","98.38","98.91","99.09","98.35","","-0.69%"
"2020- 05- 27","99.06","99.02","99.34","98.72","","0.16%"
"2020- 05- 26","98.91","99.76","99.77","98.90","","-0.96%"
"2020- 05- 25","99.86","99.79","99.97","99.69","","0.00%"
"2020- 05- 22","99.86","99.42","99.87","99.39","","0.50%"
"2020- 05- 21","99.37","99.18","99.51","99.02","","0.25%"
"2020- 05- 20","99.12","99.55","99.56","99.00","","-0.25%"
"2020- 05- 19","99.37","99.62","99.73","99.23","","-0.29%"
"2020- 05- 18","99.67","100.36","100.47","99.58","","-0.73%"
"2020- 05- 15","100.40","100.26","100.49","100.08","","-0.06%"
"2020- 05- 14","100.47","100.19","100.56","100.15","","0.22%"
"2020- 05- 13","100.24","100.01","100.28","99.58","","0.31%"
"2020- 05- 12","99.93","100.23","100.44","99.66","","-0.30%"
"2020- 05- 11","100.24","99.12","100.28","99.12","","0.50%"
"2020- 05- 08","99.73","99.84","99.94","99.10","","-0.16%"
"2020- 05- 07","99.89","100.21","100.40","99.81","","-0.20%"
"2020- 05- 06","100.09","99.79","100.20","99.75","","0.38%"
"2020- 05- 05","99.71","99.51","99.97","99.30","","0.23%"
"2020- 05- 04","99.48","98.57","99.60","98.57","","0.41%"
"2020- 05- 01","99.08","99.13","99.21","98.64","","0.06%"
"2020- 04- 30","99.02","99.48","99.72","98.81","","-0.55%"
"2020- 04- 29","99.57","99.88","99.89","99.46","","-0.30%"
"2020- 04- 28","99.86","100.06","100.21","99.45","","-0.18%"
"2020- 04- 27","100.04","100.23","100.32","99.83","","-0.34%"
"2020- 04- 24","100.38","100.50","100.87","100.19","","-0.05%"
"2020- 04- 23","100.43","100.45","100.69","100.04","","0.04%"
"2020- 04- 22","100.39","100.21","100.50","99.90","","0.13%"
"2020- 04- 21","100.26","99.94","100.48","99.93","","0.30%"
"2020- 04- 20","99.96","99.71","100.07","99.65","","0.17%"
"2020- 04- 17","99.78","99.86","100.29","99.62","","-0.24%"
"2020- 04- 16","100.03","99.63","100.30","99.61","","0.57%"
"2020- 04- 15","99.46","98.82","99.98","98.82","","0.58%"
"2020- 04- 14","98.89","99.38","99.43","98.82","","-0.46%"
"2020- 04- 13","99.35","99.49","99.63","99.14","","-0.17%"
"2020- 04- 10","99.52","99.58","99.63","99.36","","0.00%"
"2020- 04- 09","99.52","100.13","100.30","99.36","","-0.60%"
"2020- 04- 08","100.12","99.91","100.43","99.90","","0.22%"
"2020- 04- 07","99.90","100.75","100.79","99.77","","-0.78%"
