"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 05- 05","1,707.17","1,701.78","1,712.60","1,691.13","","0.32%"
"2020- 05- 04","1,701.69","1,697.26","1,712.00","1,690.96","","0.08%"
"2020- 05- 01","1,700.41","1,685.24","1,706.21","1,669.82","","0.91%"
"2020- 04- 30","1,685.05","1,715.22","1,726.14","1,684.16","","-1.60%"
"2020- 04- 29","1,712.38","1,708.72","1,717.52","1,697.72","","0.22%"
"2020- 04- 28","1,708.63","1,716.19","1,716.19","1,691.80","","-0.40%"
"2020- 04- 27","1,715.57","1,724.86","1,727.82","1,705.82","","-0.80%"
"2020- 04- 24","1,729.43","1,733.32","1,737.89","1,710.63","","-0.12%"
"2020- 04- 23","1,731.59","1,713.00","1,738.84","1,704.05","","0.98%"
"2020- 04- 22","1,714.82","1,686.47","1,719.66","1,680.05","","1.65%"
"2020- 04- 21","1,687.02","1,694.22","1,698.48","1,660.99","","-0.42%"
"2020- 04- 20","1,694.12","1,691.44","1,703.02","1,671.74","","0.56%"
"2020- 04- 17","1,684.69","1,713.49","1,718.69","1,678.52","","-1.96%"
"2020- 04- 16","1,718.40","1,716.29","1,738.74","1,706.92","","0.10%"
"2020- 04- 15","1,716.60","1,729.43","1,731.43","1,706.99","","-0.76%"
"2020- 04- 14","1,729.70","1,714.09","1,748.50","1,709.10","","0.90%"
"2020- 04- 13","1,714.32","1,682.25","1,722.36","1,672.95","","1.45%"
"2020- 04- 10","1,689.90","1,675.00","1,696.50","1,675.00","","0.35%"
"2020- 04- 09","1,684.07","1,644.28","1,690.29","1,642.34","","2.28%"
"2020- 04- 08","1,646.52","1,645.94","1,657.06","1,641.15","","-0.15%"
"2020- 04- 07","1,648.95","1,662.38","1,671.88","1,641.06","","-0.84%"
"2020- 04- 06","1,663.00","1,596.80","1,669.76","1,596.80","","2.75%"
"2020- 04- 03","1,618.45","1,609.99","1,627.04","1,607.00","","0.29%"
"2020- 04- 02","1,613.79","1,590.75","1,621.27","1,576.43","","1.17%"
"2020- 04- 01","1,595.05","1,569.45","1,604.12","1,568.91","","1.51%"
"2020- 03- 31","1,571.31","1,612.25","1,623.52","1,562.25","","-3.20%"
"2020- 03- 30","1,623.30","1,617.38","1,635.59","1,607.63","","-0.01%"
"2020- 03- 27","1,623.50","1,634.99","1,640.76","1,614.75","","-0.54%"
"2020- 03- 26","1,632.38","1,620.16","1,645.80","1,595.81","","1.15%"
"2020- 03- 25","1,613.79","1,618.79","1,636.29","1,584.18","","-0.51%"
"2020- 03- 24","1,622.03","1,565.36","1,644.35","1,564.77","","4.39%"
"2020- 03- 23","1,553.81","1,508.25","1,561.76","1,485.40","","3.71%"
"2020- 03- 20","1,498.24","1,470.39","1,516.43","1,460.49","","1.85%"
"2020- 03- 19","1,471.00","1,486.10","1,501.61","1,464.75","","-1.03%"
"2020- 03- 18","1,486.30","1,527.30","1,546.05","1,472.60","","-2.77%"
"2020- 03- 17","1,528.58","1,512.05","1,553.11","1,465.60","","0.92%"
"2020- 03- 16","1,514.61","1,550.59","1,573.49","1,451.68","","-0.99%"
